♻️央视频道,#genre#
CCTV1,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CCTV-1-CQ/1.m3u8?m3u8_level=2
CCTV2,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CCTV-2-CQ/1.m3u8?m3u8_level=2
CCTV3,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CCTV-3-CQ/1.m3u8?m3u8_level=2
CCTV4,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CCTV-4-CQ/1.m3u8?m3u8_level=2
CCTV5,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CCTV-5-CQ/1.m3u8?m3u8_level=2
CCTV5+,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CCTV-5PLUS-CQ/1.m3u8?m3u8_level=2
CCTV6,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CCTV-6-CQ/1.m3u8?m3u8_level=2
CCTV7,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CCTV-7-CQ/1.m3u8?m3u8_level=2
CCTV8,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CCTV-8-CQ/1.m3u8?m3u8_level=2
CCTV9,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CCTV-9-CQ/1.m3u8?m3u8_level=2
CCTV10,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CCTV-10-CQ/1.m3u8?m3u8_level=2
CCTV11,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CCTV-11-HQ/1.m3u8?m3u8_level=2
CCTV12,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CCTV-12-CQ/1.m3u8?m3u8_level=2
CCTV13,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CCTV-13-CQ/1.m3u8?m3u8_level=2
CCTV14,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CCTV-14-CQ/1.m3u8?m3u8_level=2
CCTV15,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CCTV-15-HQ/1.m3u8?m3u8_level=2
CCTV16,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CCTV-16-CQ/1.m3u8?m3u8_level=2
CCTV17,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CCTV-17-CQ/1.m3u8?m3u8_level=2
 
CCTV4k,ttp://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CCTV-4K-HD/1.m3u8?m3u8_level=2

CETV1,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CETV-1-HQ/1.m3u8?m3u8_level=2
CETV2,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CETV-2/1.m3u8?m3u8_level=2
CETV3,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CETV-3/1.m3u8?m3u8_level=2
CETV4,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CETV-4/1.m3u8?m3u8_level=2

重温经典,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CWJD-HQ/1.m3u8?m3u8_level=2

 ♻️卫视频道,#genre#
凤凰中文,http://qwt.zhibotv.top:2016/全网通.php?id=凤凰中文台
凤凰资讯,http://qwt.zhibotv.top:2016/全网通.php?id=凤凰资讯台

北京卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_BEIJING-MD/1.m3u8?m3u8_level=2
东方卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_DONGFANG-MD/1.m3u8?m3u8_level=2
江苏卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_JIANGSU-CQ/1.m3u8?m3u8_level=2
浙江卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_ZHEJIANG-CQ/1.m3u8?m3u8_level=2
湖南卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_HUNAN-CQ/1.m3u8?m3u8_level=2
辽宁卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_LIAONING-MD/1.m3u8?m3u8_level=2
天津卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_TIANJIN-HD-265-8M/1.m3u8?m3u8_level=2
深圳卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_SHENZHEN-MD/1.m3u8?m3u8_level=2
安徽卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_ANHUI-HD-265-8M/1.m3u8?m3u8_level=2
广东卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_GUANGDONG-MD/1.m3u8?m3u8_level=2
山东卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_SHANDONG-HD-265-8M/1.m3u8?m3u8_level=2
贵州卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_GUIZHOU-CQ/1.m3u8?m3u8_level=2
黑龙江卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_HEILONGJIANG-MD/1.m3u8?m3u8_level=2
河北卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_HEBEI-CQ/1.m3u8?m3u8_level=2
东南卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_DONGNAN-HQ/1.m3u8?m3u8_level=2
湖北卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_HUBEI-HD-265-8M/1.m3u8?m3u8_level=2
重庆卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CHONGQING-CQ/1.m3u8?m3u8_level=2
云南卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_YUNNAN-HQ/1.m3u8?m3u8_level=2
海南卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_HAINAN-HQ/1.m3u8?m3u8_level=2
陕西卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_SHANXI/1.m3u8?m3u8_level=2
青海卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_QINGHAI/1.m3u8?m3u8_level=2
河南卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_HENAN-CQ/1.m3u8?m3u8_level=2
山西卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/SXWS/1.m3u8?m3u8_level=2
