
🇨🇳央视IPTV,#genre#

CCTV1,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV1$洛阳市移动
CCTV2,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV2$洛阳市移动
CCTV3,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV3$洛阳市移动
CCTV4,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV4$洛阳市移动
CCTV5,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV5$洛阳市移动
CCTV5+,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV5p$洛阳市移动
CCTV6,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV6$洛阳市移动
CCTV7,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV7$洛阳市移动
CCTV8,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV8$洛阳市移动
CCTV9,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV9$洛阳市移动
CCTV10,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV10$洛阳市移动
CCTV11,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV11$洛阳市移动
CCTV12,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV12$洛阳市移动
CCTV13,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV13$洛阳市移动
CCTV14,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV14$洛阳市移动
CCTV15,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV15$洛阳市移动
CCTV16,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV16$洛阳市移动
CCTV17,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV17$洛阳市移动

CCTV1,http://117.114.153.28:8188/TV00000000000000000099@HHZT$北京市全网通
CCTV2,http://117.114.153.28:8188/TV00000000000000000140@HHZT$北京市全网通
CCTV3,http://117.114.153.28:8188/TV00000000000000000104@HHZT$北京市全网通
CCTV4,http://117.114.153.28:8188/TV00000000000000000001@HHZT$北京市全网通
CCTV5,http://117.114.153.28:8188/TV00000000000000000105@HHZT$北京市全网通
CCTV5+,http://117.114.153.28:8188/TV00000000000000000066@HHZT$北京市全网通
CCTV6,http://117.114.153.28:8188/TV00000000000000000091@HHZT$北京市全网通
CCTV7,http://117.114.153.28:8188/TV00000000000000000141@HHZT$北京市全网通
CCTV8,http://117.114.153.28:8188/TV00000000000000000106@HHZT$北京市全网通
CCTV9,http://117.114.153.28:8188/TV00000000000000000142@HHZT$北京市全网通
CCTV10,http://117.114.153.28:8188/TV00000000000000000143@HHZT$北京市全网通
CCTV11,http://117.114.153.28:8188/TV00000000000000000002@HHZT$北京市全网通
CCTV12,http://117.114.153.28:8188/TV00000000000000000144@HHZT$北京市全网通
CCTV13,http://117.114.153.28:8188/TV00000000000000000003@HHZT$北京市全网通
CCTV14,http://117.114.153.28:8188/TV00000000000000000005@HHZT$北京市全网通
CCTV15,http://117.114.153.28:8188/TV00000000000000000004@HHZT$北京市全网通
CCTV16,http://117.114.153.28:8188/TV00000000000000000136@HHZT$北京市全网通
CCTV17,http://117.114.153.28:8188/TV00000000000000000021@HHZT$北京市全网通

CCTV1,http://123.160.174.149:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$郑州管城区电信
CCTV2,http://123.160.174.149:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$郑州管城区电信
CCTV3,http://123.160.174.149:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$郑州管城区电信
CCTV4,http://123.160.174.149:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$郑州管城区电信
CCTV5,http://123.160.174.149:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$郑州管城区电信
CCTV6,http://123.160.174.149:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$郑州管城区电信
CCTV8,http://123.160.174.149:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$郑州管城区电信
CCTV9,http://123.160.174.149:85/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$郑州管城区电信
CCTV10,http://123.160.174.149:85/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$郑州管城区电信
CCTV11,http://123.160.174.149:85/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$郑州管城区电信
CCTV12,http://123.160.174.149:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$郑州管城区电信
CCTV13,http://123.160.174.149:85/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$郑州管城区电信
CCTV14,http://123.160.174.149:85/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$郑州管城区电信
CCTV15,http://123.160.174.149:85/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$郑州管城区电信
CCTV17,http://123.160.174.149:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$郑州管城区电信

CCTV1,https://cdn5.132.us.kg/live/cctv1/stream.m3u8$cdn
CCTV1,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33$jds

CCTV1,http://1.198.10.246:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$郑州二七区电信
CCTV2,http://1.198.10.246:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$郑州二七区电信
CCTV3,http://1.198.10.246:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$郑州二七区电信
CCTV4,http://1.198.10.246:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0$郑州二七区电信
CCTV5,http://1.198.10.246:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$郑州二七区电信
CCTV6,http://1.198.10.246:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$郑州二七区电信
CCTV8,http://1.198.10.246:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$郑州二七区电信
CCTV9,http://1.198.10.246:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$郑州二七区电信
CCTV10,http://1.198.10.246:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$郑州二七区电信
CCTV11,http://1.198.10.246:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$郑州二七区电信
CCTV12,http://1.198.10.246:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$郑州二七区电信
CCTV13,http://1.198.10.246:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$郑州二七区电信
CCTV14,http://1.198.10.246:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$郑州二七区电信
CCTV15,http://1.198.10.246:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$郑州二七区电信
CCTV17,http://1.198.10.246:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$郑州二七区电信

CCTV1,http://1.192.246.101:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$郑州金水区电信
CCTV2,http://1.192.246.101:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$郑州金水区电信
CCTV3,http://1.192.246.101:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$郑州金水区电信
CCTV4,http://1.192.246.101:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$郑州金水区电信
CCTV5,http://1.192.246.101:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$郑州金水区电信
CCTV5+,http://1.192.246.101:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$郑州金水区电信
CCTV6,http://1.192.246.101:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$郑州金水区电信
